Time - Plot 0	Amplitude - Plot 0
0	0
0.05	0
0.1	0.007822
0.15	0.007822
0.2	0.04444
0.25	0.04444
0.3	0.1034
0.35	0.1387
0.4	0.1763
0.45	0.215
0.5	0.2537
0.55	0.291
0.6	0.291
0.65	0.3258
0.7	0.3838
0.75	0.405
0.8	0.4201
0.85	0.4285
0.9	0.4298
0.95	0.4298
1	0.4104
1.05	0.3899
1.1	0.3625
1.15	0.3625
1.2	0.2898
1.25	0.2459
1.3	0.1983
1.35	0.1479
1.4	0.1479
1.45	0.04363
1.5	-0.00794
1.55	-0.05754
1.6	-0.104
1.65	-0.1464
1.7	-0.1836
1.75	-0.2149
1.8	-0.2395
1.85	-0.2569
1.9	-0.2668
1.95	-0.2689
2	-0.2633
2.05	-0.2501
2.1	-0.2298
2.15	-0.2028
2.2	-0.17
2.25	-0.17
2.3	-0.09015
2.35	-0.04519
2.4	0.001622
2.45	0.04909
2.5	0.09602
2.55	0.1412
2.6	0.1835
2.65	0.2219
2.7	0.2554
2.75	0.2831
2.8	0.3043
2.85	0.3184
2.9	0.3252
2.95	0.3244
3	0.316
3.05	0.3002
3.1	0.2774
3.15	0.2481
3.2	0.213
3.25	0.1729
3.3	0.1289
3.35	0.1289
3.4	0.03337
3.45	-0.01586
3.5	-0.06445
3.55	-0.1112
3.6	-0.1112
3.65	-0.1948
3.7	-0.2297
3.75	-0.2586
3.8	-0.281
3.85	-0.2964
3.9	-0.3043
3.95	-0.3045
4	-0.2971
4.05	-0.2822
4.1	-0.2603
4.15	-0.2318
4.2	-0.1976
4.25	-0.1583
4.3	-0.115
4.35	-0.115
4.4	-0.02082
4.45	0.02777
4.5	0.07577
4.55	0.07577
4.6	0.1653
4.65	0.1653
4.7	0.2046
4.75	0.2674
4.8	0.2894
4.85	0.3043
4.9	0.3118
4.95	0.3116
5	0.3116
5.05	0.3039
5.1	0.2887
5.15	0.2377
5.2	0.2031
5.25	0.1635
5.3	0.12
5.35	0.07355
5.4	0.02532
5.45	-0.0235
5.5	-0.07171
5.55	-0.1181
5.6	-0.1616
5.65	-0.2011
5.7	-0.2356
5.75	-0.2642
5.8	-0.2864
5.85	-0.3015
5.9	-0.3091
5.95	-0.3091
6	-0.3014
6.05	-0.2864
6.1	-0.2642
6.15	-0.2356
6.2	-0.2011
6.25	-0.1616
6.3	-0.1616
6.35	-0.07185
6.4	-0.07185
6.45	0.02503
6.5	0.07316
6.55	0.1195
6.6	0.1629
6.65	0.2023
6.7	0.2023
6.75	0.2368
6.8	0.2875
6.85	0.2875
6.9	0.31
6.95	0.31
7	0.3023
7.05	0.2872
7.1	0.265
7.15	0.2363
7.2	0.2018
7.25	0.1623
7.3	0.1189
7.35	0.07246
7.4	0.02429
7.45	-0.02448
7.5	-0.07264
7.55	-0.119
7.6	-0.1624
7.65	-0.2019
7.7	-0.2363
7.75	-0.2363
7.8	-0.265
7.85	-0.3021
7.9	-0.3097
7.95	-0.3097
8	-0.302
8.05	-0.302
8.1	-0.2647
8.15	-0.2361
8.2	-0.2015
8.25	-0.1621
8.3	-0.1186
8.35	-0.07224
8.4	-0.02408
8.45	-0.02408
8.5	0.07283
8.55	0.1192
8.6	0.1626
8.65	0.202
8.7	0.2365
8.75	0.2651
8.8	0.2872
8.85	0.2872
8.9	0.3022
8.95	0.3098
9	0.3021
9.05	0.287
9.1	0.2648
9.15	0.2361
9.2	0.2016
9.25	0.1622
9.3	0.1187
9.35	0.1187
9.4	0.02415
9.45	-0.02461
9.5	-0.07276
9.55	-0.1191
9.6	-0.1626
9.65	-0.202
9.7	-0.2364
9.75	-0.2651
9.8	-0.2872
9.85	-0.3022
9.9	-0.3098
9.95	-0.3097
10	-0.3021
10.05	-0.3021
10.1	-0.2648
10.15	-0.2361
10.2	-0.2016
10.25	-0.1621
10.3	-0.1187
10.35	-0.07229
10.4	-0.02413
10.45	0.02463
10.5	0.07279
10.55	0.07279
10.6	0.1191
10.65	0.202
10.7	0.2364
10.75	0.2364
10.8	0.2872
10.85	0.3022
10.9	0.3098
10.95	0.3098
11	0.3098
11.05	0.287
11.1	0.287
11.15	0.2648
11.2	0.2016
11.25	0.2016
11.3	0.1187
11.35	0.0723
11.4	0.02414
11.45	-0.02462
11.5	-0.07278
11.55	-0.1191
11.6	-0.1626
11.65	-0.202
11.7	-0.202
11.75	-0.2651
11.8	-0.2651
11.85	-0.2872
11.9	-0.3098
11.95	-0.3098
12	-0.3021
12.05	-0.287
12.1	-0.2648
12.15	-0.2361
12.2	-0.2361
12.25	-0.1621
12.3	-0.1187
12.35	-0.0723
12.4	-0.02413
12.45	0.02463
12.5	0.02463
12.55	0.1191
12.6	0.1626
12.65	0.202
12.7	0.2364
12.75	0.2651
12.8	0.2872
12.85	0.3022
12.9	0.3022
12.95	0.3098
13	0.3021
13.05	0.287
13.1	0.287
13.15	0.2361
13.2	0.2016
13.25	0.1621
13.3	0.1187
13.35	0.0723
13.4	0.02413
13.45	-0.02463
13.5	-0.07278
13.55	-0.1191
13.6	-0.1191
13.65	-0.202
13.7	-0.2364
13.75	-0.2651
13.8	-0.2872
13.85	-0.3022
13.9	-0.3098
13.95	-0.3098
14	-0.3021
14.05	-0.287
14.1	-0.287
14.15	-0.2648
14.2	-0.2016
14.25	-0.1621
14.3	-0.1621
14.35	-0.0723
14.4	-0.0723
14.45	0.02463
14.5	0.07278
14.55	0.1191
14.6	0.1626
14.65	0.202
14.7	0.2364
14.75	0.2364
14.8	0.2651
14.85	0.3022
14.9	0.3098
14.95	0.3098
15	0.3021
15.05	0.287
15.1	0.2648
15.15	0.2361
15.2	0.2016
15.25	0.2016
15.3	0.1187
15.35	0.1187
15.4	0.02413
15.45	0.02413
15.5	-0.07278
15.55	-0.1191
15.6	-0.1626
15.65	-0.202
15.7	-0.202
15.75	-0.2651
15.8	-0.2872
15.85	-0.2872
15.9	-0.3098
15.95	-0.3098
16	-0.3021
16.05	-0.287
16.1	-0.2648
16.15	-0.2361
16.2	-0.2016
16.25	-0.1621
16.3	-0.1187
16.35	-0.1187
16.4	-0.02413
16.45	-0.02413
16.5	0.07278
16.55	0.1191
16.6	0.1626
16.65	0.202
16.7	0.2364
16.75	0.2651
16.8	0.2651
16.85	0.3022
16.9	0.3098
16.95	0.3098
17	0.3021
17.05	0.287
17.1	0.2648
17.15	0.2361
17.2	0.2016
17.25	0.1621
17.3	0.1187
17.35	0.0723
17.4	0.02413
17.45	-0.02463
17.5	-0.07278
17.55	-0.07278
17.6	-0.1626
17.65	-0.1626
17.7	-0.2364
17.75	-0.2651
17.8	-0.2872
17.85	-0.3022
17.9	-0.3098
17.95	-0.3098
18	-0.3021
18.05	-0.287
18.1	-0.2648
18.15	-0.2648
18.2	-0.2016
18.25	-0.1621
18.3	-0.1187
18.35	-0.0723
18.4	-0.02413
18.45	-0.02413
18.5	0.07278
18.55	0.07278
18.6	0.1626
18.65	0.1626
18.7	0.2364
18.75	0.2651
18.8	0.2651
18.85	0.3022
18.9	0.3098
18.95	0.3098
19	0.3021
19.05	0.287
19.1	0.2648
19.15	0.2361
19.2	0.2016
19.25	0.1621
19.3	0.1621
19.35	0.0723
19.4	0.0723
19.45	0.02413
19.5	-0.07278
19.55	-0.07278
19.6	-0.1626
19.65	-0.202
19.7	-0.2364
19.75	-0.2651
19.8	-0.2872
